timestamp,profile,section,implementation,operation,sizeKB,meanMs,p50Ms,p95Ms,p99Ms,hz,iterations,url,sizeB
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,1,82.05918913935197,82.29186200001277,94.75336720001069,98.02333971004585,12.18632563260906,122,http://localhost:8080/blob?size=512,1024
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,1,80.85440699193973,81.15721250005299,94.54591660000732,97.8055634600995,12.367909644055503,124,http://localhost:8080/blob?size=1024,1024
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,2,82.00515871544698,82.00465799996164,95.52794180002527,97.28685139996698,12.194354790165583,123,http://localhost:8080/blob?size=2048,2048
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,4,80.99287969355036,81.5407150000101,94.99896840000292,97.2217418199312,12.346764354887265,124,http://localhost:8080/blob?size=4096,4096
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,8,82.32918804098917,82.59471249999478,94.60394759994814,97.12227054005956,12.146360528930892,122,http://localhost:8080/blob?size=8192,8192
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,16,81.44352543088361,82.64266899996437,96.3890185999684,99.98475082000718,12.278446871122272,123,http://localhost:8080/blob?size=16384,16384
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,32,82.25057467212615,82.17473949998384,95.73344119997346,98.89390533999772,12.157969764786207,122,http://localhost:8080/blob?size=32768,32768
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,64,83.18907555371854,83.4590999999782,94.76198399998248,98.39069039998576,12.02080914283342,121,http://localhost:8080/blob?size=65536,65536
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,128,86.21854649136918,86.2240509999101,96.84674624999752,99.13193765000906,11.59843259593925,116,http://localhost:8080/blob?size=131072,131072
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,256,88.98426301769945,88.75465299992356,98.95100419996308,100.6247251600679,11.23794214940112,113,http://localhost:8080/blob?size=262144,262144
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,512,90.06797499999811,89.93220650003059,100.1642167999933,101.05396956996644,11.10272546929162,112,http://localhost:8080/blob?size=524288,524288
2025-10-07T14:03:02.387Z,delay40,HTTP,dta,,1024,91.73485960908742,91.05294999998296,100.33953774999829,101.29156255000852,10.90098141820166,110,http://localhost:8080/blob?size=1048576,1048576
2025-10-07T14:03:02.387Z,delay40,HTTP,mcp,,1,83.26072945454723,82.94580700004008,98.51948399993124,101.43014419993852,12.010464075334683,121,http://localhost:8080/blob?size=512,1024
2025-10-07T14:03:02.387Z,delay40,HTTP,mcp,,1,83.0120888842926,82.3958430000348,97.36283299990464,100.0359182000393,12.046438216894677,121,http://localhost:8080/blob?size=1024,1024
