profile,operation,p50_overhead_med_pct,p95_overhead_med_pct,p99_overhead_med_pct,p50_overhead_mean_pct,p95_overhead_mean_pct,p99_overhead_mean_pct
bursty,read,155.36253163913904,234.75081337444865,133.21232859684542,728.2513684628562,654.37338079999,332.3989075772346
bursty,remove,88.38474819583234,114.25902589629369,99.5263800164832,88.86738973050497,113.18057899266697,99.89677612303667
bursty,write,92.43434052471247,51.74862700648796,78.78696800954863,103.8910227095326,82.19769128247555,76.9330804555764
default,read,152.04435545271267,222.90295885213953,121.00359963279669,721.2670350233925,608.228437272886,323.3678962717802
default,remove,86.89982310766338,116.95096416151667,111.01600435716004,86.73860395971575,116.87721207937744,109.96933336161932
default,write,84.11645308742284,61.94399375784172,71.70330585034257,110.03107751889631,86.60307618531806,84.48352368219659
delay40,read,156.8272756528889,245.46458959211733,111.70894506320181,745.3257754623227,747.2051616609648,477.95785273530663
delay40,remove,88.08468924268897,117.21469968961927,100.6850074931535,88.18164518044026,116.29711185018431,102.05547369836115
delay40,write,86.58702556068322,46.264736424892035,47.3164148120442,105.82141481415475,87.83371785366421,104.74016596158695
loss1,read,151.95154201962907,232.5880835625369,115.51692582284471,710.325068179479,621.9217176139633,360.81807937258253
loss1,remove,88.07653031132202,113.92516746058014,95.87629724474344,88.20711842670906,112.7449164906031,96.57257850967716
loss1,write,85.79875715018791,55.93791252948775,68.18793695679307,106.92005717319522,84.30029635538929,86.12005280422412
netem40,read,156.32842239048722,226.99205902866944,132.22069323753257,724.4645765207322,703.3866310246547,398.6394573971047
netem40,remove,88.7677843201747,114.85524168822359,104.34811246238225,88.76689541403027,115.96153796195485,103.65826808262369
netem40,write,94.85747799489141,48.78458699102214,62.789280766097896,105.10601307236116,84.20310814197046,80.02923753507885
slowlink,read,180.30453555728818,298.3808860484476,169.2611817122619,748.4290595740285,645.9392377826762,344.20309076723146
slowlink,remove,87.72571214066294,117.52764102104918,104.60134918131034,87.97141058298563,117.3514676284806,107.85660704472077
slowlink,write,99.78428170356842,56.39772537999721,57.63419759684556,110.31130038299833,91.46866758709184,92.14921074116678
