profile,operation,sizeKB,p50Ms_dta,p50Ms_mcp,p95Ms_dta,p95Ms_mcp,p99Ms_dta,p99Ms_mcp,p50Ms_overhead_pct,p50Ms_delta_ms,p95Ms_overhead_pct,p95Ms_delta_ms,p99Ms_overhead_pct,p99Ms_delta_ms
bursty,read,4,0.1128540001809597,0.1780309998430311,0.1827480001375079,0.2867635001894086,0.3227857600525012,0.4932591997552664,57.7533800818412,0.06517699966207141,56.917449150543234,0.10401550005190072,52.81318471887906,0.17047343970276518
bursty,read,8,0.1137500000186264,0.1841070000082254,0.1702659999020397,0.2986176999984308,0.2941005998291076,0.5322513601742684,61.852307673035746,0.07035699998959902,75.38304780181396,0.1283517000963911,80.97595193057839,0.23815076034516086
bursty,read,16,0.1153600001707673,0.1997454999946057,0.1699826997704804,0.3222478001611306,0.2890144198574124,0.6520694899279628,73.1497050094683,0.0843854998238384,89.5768219920301,0.1522651003906502,125.61832390566067,0.3630550700705504
bursty,read,32,0.116680999752134,0.2297940000426024,0.1694705000612884,0.399139299988747,0.3253545399010178,0.6862336299149308,96.94209042668032,0.11311300029046839,135.52140333827992,0.2296687999274586,110.91871966000619,0.36087909001391294
bursty,read,64,0.1219480000436306,0.3114095001947135,0.1795439999550581,0.6010250002145767,0.3453588001802561,0.8054192999145017,155.36253163913904,0.18946150015108287,234.75081337444865,0.4214810002595186,133.21232859684542,0.46006049973424556
bursty,read,128,0.1290750000625848,0.7178000002168119,0.2024893501540645,2.443056750111282,0.6766819600248771,3.1918125499971173,456.11078819970646,0.5887250001542271,1106.5112304684058,2.2405673999572175,371.68577537958527,2.51513058997224
bursty,read,256,0.1424539999570697,1.4759119998198005,0.2286482497118412,3.42889134993311,0.6783285999903449,3.997497809911147,936.0621676222396,1.3334579998627307,1399.635949216512,3.200243100221269,489.3158286364523,3.319169209920802
bursty,read,512,0.2021499997936189,3.3018769999034703,0.415198800060898,5.215216000028886,1.0414141996949904,6.446739809964782,1533.379670182764,3.0997270001098514,1156.0768478290304,4.800017199967988,519.0370567112399,5.4053256102697915
bursty,read,1024,0.3110030000098049,10.212249000091106,0.7161221999674993,12.42462609983049,1.1419794799853116,13.795260560205206,3183.6496753308315,9.9012460000813,1634.9868640288453,11.708503899862992,1108.012998655864,12.653281080219895
bursty,remove,4,0.0571490000002086,0.1076599997468292,0.0874459999613463,0.1727387500228359,0.1620159996673464,0.3055768498498946,88.38474819583234,0.0505109997466206,97.53762333233252,0.08529275006148959,88.60905742476632,0.1435608501825482
bursty,remove,8,0.0570580000057816,0.1070050001144409,0.0816895500058308,0.1721707499586044,0.1545658799819647,0.3106321300147094,87.53724298713283,0.0499470001086593,110.76227001656306,0.09048119995277361,100.97069938783068,0.1560662500327447
bursty,remove,16,0.0570120001211762,0.107861999887973,0.0830225000390783,0.1778831998584792,0.15984325022437,0.3040658698696645,89.1917485068365,0.0508499997667968,114.25902589629369,0.0948606998194009,90.22753193697639,0.1442226196452945
bursty,remove,32,0.0572199998423457,0.1075460002757608,0.0861749999225139,0.1758077499456702,0.1650571597926328,0.2925934600643817,87.9517661168732,0.050326000433415105,104.01247473600405,0.0896327500231563,77.26796004001116,0.1275363002717489
bursty,remove,64,0.0572979999706149,0.1075570001266896,0.08022995039355,0.1754617502214386,0.1477599800797179,0.2924583999766038,87.71510381138935,0.0502590001560747,118.69856501312836,0.09523179982788858,97.92801800515925,0.14469841989688587
bursty,remove,128,0.0574619998224079,0.1072809998877346,0.0811998999211936,0.1734490002738312,0.1534858699096365,0.3062448000675064,86.69903626622349,0.0498190000653267,113.60740646499256,0.0922491003526376,99.5263800164832,0.15275893015786987
bursty,remove,256,0.0565780000761151,0.1075814999639988,0.0798832501750439,0.1728807501262053,0.1470192997949196,0.3115471803164104,90.14723005279092,0.0510034998878837,116.41677040854115,0.0929974999511614,111.90903558307943,0.16452788052149078
bursty,remove,512,0.0567189999856054,0.1087730000726878,0.078253649896942,0.1753819501493124,0.1425509498873725,0.3224652199726548,91.77524304076778,0.05205400008708239,124.11983387392897,0.0971283002523704,126.21050243960497,0.17991427008528232
bursty,remove,1024,0.0567029998637735,0.1079650002066046,0.0785448999376967,0.1721792500466108,0.1442548701632766,0.2977734999731183,90.4043885966983,0.0512620003428311,119.21124119221827,0.0936343501089141,106.42180027341873,0.1535186298098417
bursty,write,4,0.1629389999434352,0.2291675000451505,0.2578429998829961,0.3624912000028413,0.4586425998248155,0.5507280700746919,40.646192823514774,0.0662285001017153,40.586015585969925,0.10464820011984521,20.077827546994044,0.09208547024987646
bursty,write,8,0.1678049997426569,0.2369829998351633,0.2587380000622943,0.3503442000597715,0.437073499849066,0.612623600177467,41.22523178605923,0.06917800009250641,35.40500428055481,0.09160619999747721,40.16489226389233,0.17555010032840096
bursty,write,16,0.1770809995941817,0.2578809999395162,0.2710841001011431,0.4113663999363781,0.4329257598053665,0.774014839688316,45.628836820723095,0.0808000003453345,51.74862700648796,0.140282299835235,78.78696800954863,0.34108907988294945
bursty,write,32,0.1972225001081824,0.3179150000214576,0.3462087499210611,0.5087839998304844,0.6100978000089502,0.9069898001849668,61.19611091385202,0.12069249991327521,46.958735140718424,0.1625752499094233,48.663017662358584,0.2968920001760166
bursty,write,64,0.2555229999125004,0.4917139997705817,0.6061487999744712,0.8291190001182258,0.7902347999811166,1.0794150000438094,92.43434052471247,0.23619099985808134,36.784730111343166,0.22297020014375457,36.594212260660136,0.28918020006269285
