profile,sizeKB,p50Ms_dta,p50Ms_mcp,p95Ms_dta,p95Ms_mcp,p99Ms_dta,p99Ms_mcp,p50Ms_overhead_pct,p50Ms_delta_ms,p95Ms_overhead_pct,p95Ms_delta_ms,p99Ms_overhead_pct,p99Ms_delta_ms
bursty,1,21.47492774995044,21.98660950025078,24.418593525094913,24.91379195002373,25.038634789926,25.771317735065235,2.3826936987088176,0.5116817503003404,2.027956378486345,0.49519842492881594,2.9262096407669214,0.7326829451392349
bursty,2,21.33035199996084,21.724790999898687,24.19665750011336,25.174122499884103,24.93064191984478,26.03233419985045,1.8491912366873804,0.39443899993784726,4.039669527769125,0.9774649997707421,4.419028934544689,1.1016922800056683
bursty,4,21.67366399988532,21.879352000076324,24.39447709992528,24.7807667999994,25.55224243994802,25.337267739763483,0.9490227411114771,0.20568800019100308,1.5835129340620546,0.3862897000741228,-0.8413144196238888,-0.21497470018453768
bursty,8,21.46403600042686,21.72396699991077,23.96327890013345,24.667605099733915,24.58614767991937,25.88171791987028,1.2110070980068257,0.25993099948390963,2.939189593109245,0.7043261996004659,5.269512966478517,1.2955702399509086
bursty,16,21.533806999912485,22.12622300023213,24.595514350011943,24.92523835001048,25.22645533982199,25.77639414018952,2.7510973806073977,0.5924160003196448,1.3405859105295699,0.32972399999853863,2.180008221366752,0.5499388003675314
bursty,32,21.270963999908417,21.890656999778003,24.110636999853885,24.895709299808367,24.98932628026232,26.09776790003292,2.913328234076524,0.619692999869585,3.2561242573526354,0.7850722999544821,4.435660278869136,1.108441619770602
bursty,64,21.830733499955382,22.487734999973327,24.403502349671907,24.758775000181046,25.1425320899114,25.38732912020758,3.0095255389347653,0.6570015000179446,1.455826485143497,0.35527265050913925,0.9736371397310708,0.24479703029617994
bursty,128,22.24238700000569,22.737767499871552,24.59673950001597,25.146353700291364,25.03745477017015,25.82625431998633,2.2271912626362296,0.4953804998658633,2.2345002282722715,0.5496142002753928,3.150478181815678,0.7887995498161793
bursty,256,22.52591500012204,23.197788999881595,24.939922500308604,25.590250400081278,25.44962599975988,26.52314951982349,2.982671291070373,0.6718739997595549,2.6075778694365472,0.6503278997726731,4.21822906188774,1.0735235200636097
bursty,512,22.89775100024417,23.45463799964637,25.029670399799944,25.625436800019816,25.61051099998876,26.46111128014513,2.432059809700352,0.5568869994021988,2.380240693160044,0.5957664002198726,3.3212936678879257,0.8506002801563675
bursty,1024,23.35666700033471,23.9761020001024,25.78608989981003,26.52572879986837,26.500799219999465,27.80176479972899,2.6520693203307397,0.6194349997676909,2.8683639238525687,0.7396389000583419,4.9091560180106555,1.3009655797295245
default,1,0.1051402499997493,0.182585000009567,0.2170232249998349,0.3279675500132725,0.354651070000609,0.5300443700052011,73.65851803662477,0.07744475000981771,51.12094570225006,0.1109443250134376,49.455172940628906,0.17539330000459208
default,2,0.1078850000012607,0.1847659999912139,0.2126779999998689,0.3221063000091818,0.3443511999990739,0.4829066600167448,71.26199192571238,0.07688099998995321,51.45257149746582,0.10942830000931289,40.23667117118906,0.13855546001767094
default,4,0.1107659999979659,0.1880530000198632,0.2180720000033034,0.3301580000028479,0.329018799998447,0.4855368800135329,69.77502123694688,0.0772870000218973,51.39862063806751,0.1120859999995445,47.57116615093869,0.15651808001508588
default,8,0.1205850000005739,0.1991000000271015,0.2245708499991451,0.3349720000114757,0.3874930199977069,0.5467614000081052,65.11174692221579,0.07851500002652759,49.16094409080738,0.11040115001233061,41.1022577932735,0.15926838001039834
default,16,0.1370929999975487,0.2159855000063544,0.245251200000348,0.3480697000064536,0.419228679998486,0.5684735999818077,57.54670188136253,0.07889250000880568,41.923750018739845,0.1028185000061056,35.599883095751146,0.14924491998332168
default,32,0.1678020000035758,0.2226810000138357,0.2797088000079383,0.4120528999948877,0.5155216800043122,1.2452965200133623,32.70461616017117,0.05487900001025989,47.31495754984948,0.1323440999869494,141.56045580914187,0.7297748400090501
default,64,0.1562140000023646,0.2532530000025872,0.2908005000099365,0.6143245999875943,0.8375030999981385,1.2775560400006365,62.1192722795356,0.09703900000022261,111.25293799928235,0.32352409997765774,52.543440138129164,0.44005294000249795
default,128,0.1966229999961797,0.2966699999960838,0.3460350000095786,0.9889622500093525,0.8942790000000943,1.3619223699849676,50.88265360707953,0.1000469999999041,185.7983296435265,0.6429272499997738,52.29278222845711,0.4676433699848733
default,256,0.2779440000012982,0.4054439999745227,0.5769943999999664,1.242138999994495,1.0044746800063884,1.5782978999923218,45.8725498563124,0.12749999997322448,115.27747929521801,0.6651445999945286,57.126698303862064,0.5738232199859334
default,512,0.5069340000045486,0.6287249999877531,1.3611807999943264,1.6243672999888068,2.2741684600044367,1.9877245099961864,24.025021005123296,0.12179099998320453,19.335161059836974,0.2631864999944804,-12.595546682047093,-0.2864439500082503
default,1024,0.8660689999960596,1.198298999996041,2.0778323999940773,2.3236991999845484,2.859831220007914,2.7021948599946346,38.360684887866086,0.3322299999999814,11.832850425817403,0.24586679999047112,-5.512086129783668,-0.1576363600132793
delay40,1,81.72453725003288,82.67082500003744,94.649641900009,97.94115849991795,97.91445158507267,100.73303119998891,1.1578991840717667,0.9462877500045579,3.4775795595573533,3.2915165999089453,2.8786145142909074,2.8185796149162456
delay40,2,82.00465799996164,82.72297650005203,95.52794180002527,94.71085795006948,97.28685139996698,100.41344870000265,0.8759484126995889,0.7183185000903904,-0.8553349256348961,-0.8170838499557931,3.213792259738741,3.1265973000356695
